perpetrator_sex,Gun,Knife,Blunt Object,Strangulation/Suffocation,Other
Female,0.482803967,0.306430402,0.12753817,0.032118578,0.051108882
Male,0.693604006,0.158555061,0.118970217,0.01545142,0.013419296
