victim_sex,Acquaintance,Boyfriend/Girlfriend,Family,Spouse,Ex-Spouse,Coworker,Friend,Neighbor,Stranger
Female,0.193963659,0.168319474,0.186469562,0.25772508,0.019238271,0.002001848,0.033394929,0.016753927,0.122133251
Male,0.399737216,0.032657586,0.116927522,0.042224553,0.002717422,0.002601707,0.069742181,0.017390753,0.31600106
