victim_sex,Acquaintance_Friend,Boyfriend_Girlfriend,Family,Spouse,Coworker,Ex_Spouse,Neighbor,Stranger
Female,22147,16396,18164,25105,195,1874,1632,11897
Male,125774,8749,31325,11312,697,728,4659,84657
