victim_sex,Acquaintance,Boyfriend_Girlfriend,Family,Spouse,Ex_Spouse,Coworker,Friend,Neighbor,Stranger
Female,19.3963659,16.8319474,18.6469562,25.772508,1.9238271,0.2001848,3.3394929,1.6753927,12.2133251
Male,39.9737216,3.2657586,11.6927522,4.2224553,0.2717422,0.2601707,6.9742181,1.7390753,31.600106
